AEM CN Equity,AQN CN Equity,ATD CN Equity,BMO CN Equity,BNS CN Equity,ABX CN Equity,BCE CN Equity,BAM CN Equity,BN CN Equity,BIP-U CN Equity,CAE CN Equity,CCO CN Equity,CAR-U CN Equity,CM CN Equity,CNR CN Equity,CNQ CN Equity,CP CN Equity,CTC/A CN Equity,CCL/B CN Equity,CVE CN Equity,GIB/A CN Equity,CSU CN Equity,DOL CN Equity,EMA CN Equity,ENB CN Equity,FM CN Equity,FSV CN Equity,FTS CN Equity,FNV CN Equity,WN CN Equity,GIL CN Equity,H CN Equity,IMO CN Equity,IFC CN Equity,K CN Equity,L CN Equity,MG CN Equity,MFC CN Equity,MRU CN Equity,NA CN Equity,NTR CN Equity,OTEX CN Equity,PPL CN Equity,POW CN Equity,QSR CN Equity,RCI/B CN Equity,RY CN Equity,SAP CN Equity,SHOP CN Equity,SLF CN Equity,SU CN Equity,TRP CN Equity,TECK/B CN Equity,T CN Equity,TRI CN Equity,TD CN Equity,TOU CN Equity,WCN CN Equity,WPM CN Equity,WSP CN Equity
94.76,19.17,41.55,65.22,51.08,39.16,55.32,,33.5498,37.2267,20.7,13.66,47.59,40.935,113.38,12.53,64.59,97.5,41.91,5.6,84.89,1451.729,43.6,53.38,44.7,8.36,118.3,51.6,207.32,98.56,18.35,25.57,20.84,132.96,10.53,68.7,53.34,15.89,59.22,53.47,45.14,55.37,34.97,21.04,72.93,55.5,83.73,34.47,104.933,46.09,23.97,55.9158,13.47,22.67,98.4173,56.14,13.8,127.54,65.04,88.51
92.69,18.66,41.72,66.45,51.62,37.85,55.03,,33.413,36.52,20.38,13.97,47.68,41.395,116.19,12.91,67.896,100.62,43.21,5.99,85.58,1494.987,43.16,52.49,44.51,8.63,120.15,51.02,205.07,96.99,18.39,25.63,21.67,128.98,10.19,67.5,55.05,16.17,57.85,54.24,44.84,54.91,35.93,21.2,73.02,56.02,86.01,33.77,107.7,46.88,25.5,54.3581,13.53,22.5,96.6329,56.85,14.02,128.03,64.09,89.24
90.65,18.49,41.72,65.1,51.46,36.61,54.39,,33.6785,36.32,20.12,13.76,47.61,41.3,114.48,12.835,67.112,102.02,44.2,5.96,85.25,1493.68,43.91,51.69,43.89,8.2,122.9,50.12,201.35,96.49,18.78,25.16,21.57,126.9,9.96,66.84,54.87,16.15,57.11,53.25,45.49,54.51,35.48,21.25,74.46,55.2,83.68,33.19,111.822,47.06,24.44,52.8003,13.19,22.55,95.7823,56.21,13.85,126.97,62.2,88.55
91.79,18.75,42.54,64.14,51.1,36.81,54.62,,34.1129,36.5,19.0,13.93,47.11,41.15,115.25,12.675,67.428,100.65,43.95,5.91,87.21,1535.827,44.02,52.65,43.97,7.87,122.41,50.62,206.03,96.04,18.53,25.34,21.31,126.35,9.84,66.4,55.21,15.89,56.59,52.42,46.04,55.46,35.06,21.25,74.23,54.81,82.27,33.06,115.432,46.6,23.89,53.6566,12.82,22.61,96.0624,55.52,13.95,128.13,62.56,88.5
91.24,18.83,42.88,65.25,51.99,36.81,55.09,,34.9819,37.4,18.52,13.89,48.89,41.305,117.06,12.55,68.038,104.49,44.24,5.93,87.75,1551.998,44.75,52.8,44.16,7.89,128.41,51.43,209.37,96.55,18.42,25.48,21.45,127.4,9.68,66.84,55.3,16.27,56.41,54.02,46.4,57.02,34.8,21.46,75.4,55.65,82.9,32.93,118.798,47.17,24.2,53.5746,12.67,22.75,96.5396,56.89,13.89,127.99,61.8,89.06
87.5,18.98,42.18,70.19,55.84,34.03,55.72,,35.5692,37.52,19.71,14.17,48.87,43.96,117.78,12.61,68.84,112.35,45.29,6.02,87.44,1560.38,44.59,53.51,43.81,8.33,130.13,51.91,196.06,96.73,19.8,25.91,22.26,127.72,9.2,66.93,56.32,17.28,56.11,57.08,46.28,55.97,34.93,22.76,74.62,56.55,88.03,33.17,105.737,48.31,24.33,54.9502,13.28,23.26,95.4296,59.81,13.94,126.84,59.31,90.45
86.93,18.98,42.39,70.79,57.97,32.88,56.35,,35.7784,37.5267,21.35,14.62,47.19,45.9,118.61,12.71,69.718,116.8,45.24,6.19,86.32,1489.655,44.9,53.89,44.21,8.22,126.47,52.05,191.28,96.23,19.97,25.79,22.7,127.96,9.13,66.74,58.93,17.69,55.69,61.15,47.6,56.0,35.52,22.82,75.98,57.5,92.25,33.35,103.228,48.39,24.25,55.3419,13.52,23.37,94.164,62.52,13.95,126.48,58.16,88.57
87.51,19.4,43.18,69.39,57.35,33.01,57.0,,35.2956,37.5667,21.51,14.57,47.25,44.97,119.03,12.605,69.176,118.42,45.2,6.03,88.43,1500.24,46.34,54.99,44.55,8.22,126.18,53.35,194.56,98.92,19.42,26.16,22.09,133.03,9.07,68.2,58.07,17.33,57.07,61.79,47.45,56.33,34.56,22.71,74.69,57.58,91.33,34.34,102.749,48.09,24.02,55.9432,13.28,23.66,96.6329,60.29,13.72,129.67,59.49,88.78
88.09,19.28,43.85,67.92,55.17,33.11,57.23,,34.7807,37.34,20.66,14.96,46.94,44.145,118.6,12.575,69.02,117.62,46.39,6.0,87.98,1525.554,46.68,54.74,44.78,8.07,127.99,53.01,193.26,99.46,19.1,26.68,21.51,131.44,8.95,68.16,58.06,17.1,57.42,59.96,47.0,57.2,34.4,22.41,75.22,57.7,89.1,33.83,104.497,47.23,23.67,56.5262,13.08,23.86,95.6682,58.98,13.68,129.58,59.32,88.86
86.98,19.28,43.48,69.09,56.18,33.6,57.11,,34.6118,37.2333,20.81,14.5,46.64,45.365,117.64,12.855,67.668,117.48,45.97,6.11,87.62,1483.855,48.11,54.69,44.74,8.49,127.66,53.13,190.24,97.07,20.01,26.38,22.22,130.57,9.19,67.0,59.47,17.25,55.83,61.27,47.55,57.06,34.67,23.18,75.78,56.41,91.25,32.96,103.023,47.99,23.85,55.4968,13.11,23.89,96.1661,60.05,13.99,128.04,59.38,88.83
84.05,19.24,42.89,70.52,57.2,32.35,57.67,,35.7462,37.8,21.47,14.66,46.42,46.23,118.42,13.525,68.34,123.85,46.75,6.42,88.68,1484.928,49.24,54.73,45.08,8.89,127.46,52.74,182.85,98.13,20.73,26.46,22.82,132.12,8.62,67.58,61.94,17.76,55.46,63.95,49.28,58.05,35.73,23.85,77.23,57.14,93.64,33.71,105.42,49.22,24.73,56.0434,13.92,24.3,98.4691,60.79,14.48,128.12,56.38,85.89
78.6,19.84,44.33,73.93,58.95,31.27,58.56,,37.9507,37.8333,23.47,14.35,46.84,47.72,120.82,13.595,70.33,126.93,46.9,6.47,90.49,1493.602,49.04,55.79,44.87,8.95,133.0,54.02,177.19,98.41,21.35,26.79,23.07,133.25,8.31,67.96,61.24,18.38,56.68,65.35,50.77,58.71,35.56,24.71,79.02,57.96,93.8,33.82,102.933,51.17,25.38,56.5353,14.53,24.53,99.0293,62.43,14.1,128.02,52.97,88.63
78.63,19.47,42.85,74.15,59.05,31.63,58.86,,37.484,37.96,24.18,13.91,47.78,47.815,120.21,13.705,69.858,121.84,45.5,6.5,90.41,1479.557,47.99,55.29,44.14,8.54,136.92,53.25,179.04,96.41,20.98,26.36,23.52,132.4,8.51,67.09,60.84,18.48,55.93,64.53,49.54,57.43,35.12,24.73,78.04,57.96,94.91,33.12,99.255,50.92,25.96,56.4715,14.43,24.59,97.7429,62.37,13.9,126.44,52.68,87.3
78.23,19.39,43.14,76.07,60.54,31.29,59.5,,39.1977,39.7067,25.91,13.82,48.54,48.95,122.28,14.43,71.494,125.14,45.84,7.05,92.27,1461.525,47.68,55.4,44.84,9.52,135.54,53.87,172.94,97.5,24.1,26.64,24.86,133.87,8.35,67.46,62.93,19.52,56.15,65.52,51.38,58.01,37.2,25.38,79.95,58.75,96.8,33.58,97.832,52.8,28.57,57.5647,15.69,24.95,98.9982,65.01,13.75,132.17,50.7,88.15
77.1,19.35,41.79,77.95,60.96,31.49,59.77,,40.5172,39.6933,27.88,13.94,49.73,49.435,121.7,14.625,70.168,127.1,46.6,7.71,92.57,1467.012,46.93,55.06,45.3,9.51,135.95,53.88,171.73,96.51,24.08,26.47,26.28,133.67,8.32,66.31,63.76,20.1,55.25,65.54,52.19,58.09,38.1,26.43,79.8,59.42,96.07,33.12,97.575,52.38,28.43,58.8492,16.38,25.38,96.0728,65.69,13.27,128.8,50.65,85.98
78.4,19.19,41.78,77.29,60.67,32.64,59.3,,40.1793,38.5333,26.97,14.4,48.45,49.36,123.0,14.22,70.75,125.29,47.26,7.19,91.27,1463.727,46.84,54.52,44.26,9.68,137.32,52.99,173.46,95.94,22.92,25.87,25.67,133.15,8.36,65.99,62.95,19.93,55.8,64.14,51.33,57.9,37.1,26.17,79.64,58.94,94.64,32.9,99.292,51.65,27.55,57.009,15.85,24.26,96.3528,64.9,13.11,127.03,51.2,86.78
